,artiss,juduls,chords
0,Kunci Gitar Ari Lasso - Aku Bukanlah Diriku,Kunci Gitar Ari Lasso - Aku Bukanlah Diriku,"
Transpose:Auto Scroll Light Mode    Dark Mode   Intro : Am Dm Am E

  Am          Dm
haruskah ku bahagia
     G        C
meskiku tidak merasa
      Dm       F
haruskah haruskah
      Am  E
untuk ka..mu

  Am         Dm
entah apakah kamu
    G          C
sadari ataukah kamu
       Dm        Bb
yang memang sengaja
        F   E
tak mau ta..hu

Reff I:
  Am                        Dm
  aku sudah tidak sanggup lagi
  G                       C
  beri kamu hidup palsu ini
  F
  aku bukan diriku
  Dm
  hidup dalam hidupmu
   E                       Am
  sungguh ini bukanlah diriku

Am              F
aku tlah terpenjara
      G            C
di dalam mimpi-mimpimu
     Dm        F
haruskah haruskah
      Am  E
untuk ka..mu

  Am         Dm
entah apakah kamu
    G          C
sadari ataukah kamu
       Dm        Bb
yang memang sengaja
        F   E
tak mau ta..hu

Reff II:
  Am                        Dm
  aku sudah tidak sanggup lagi
  G                       C
  beri kamu hidup palsu ini
  F
  aku bukan diriku
  Dm
  hidup dalam hidupmu
   B                       E
  sungguh ini bukanlah diriku

  Am                   Dm
  tak kan kuteruskan lagi
  G                     C
  lebih baik luka saat ini
  F
  aku bukan diriku
  Dm
  hidup dalam hidupmu
  E                        Am
  sungguh ini bukanlah diriku

Am F Dm  C     G  E
.....Aku bukan a..ku
Am F Dm  C     G  E Am F Am E
.....aku bukan kamu

Reff III:
  Am                        Dm
  aku sudah tidak sanggup lagi
  G                       C
  beri kamu hidup palsu ini
  F
  aku bukan diriku
  Dm
  hidup dalam hidupmu
   B                       E
  sungguh ini bukanlah diriku

  Am                   Dm
  tak kan kuteruskan lagi
  G                     C
  lebih baik luka saat ini
  F
  aku bukan diriku
  Dm
  hidup dalam hidupmu
  D#m               B      E
  sungguh ini bukanlah diriku

Am F Dm  C     G  E
.....Aku bukan a..ku
Am F Dm  C     G  E
.....ini bukan a..ku
Am F Dm  C     G  E Am F Am
.....aku bukan ka...mu

E                        Am
sungguh ini bukanlah diriku


Facebook


Twitter
Chord Ari Lasso - Aku Bukanlah Diriku
Chord Kunci Gitar Terkait:
Ari Lasso - Mengejar Matahari
Ari Lasso - Nelangsa
Ari Lasso - Jalanku Tak Panjang
Antik - Cinta Sejati (Cover Ari Lasso)
Ari Lasso feat. Andra Ramadhan - Indonesia Pasti Bisa
Ari Lasso - Cinta Terakhir
Ari Lasso - Kisah Kita
Ari Lasso - Selamat Jalan Mama
Aku dan Dirimu - Ari Lasso ft Bunga Citra Lestari
HAMPA - Ari Lasso
Satu Cinta - Ari Lasso ft Sandy Canester
Ari Lasso - TULUS
Ari Lasso - Percuma
Ari Lasso - Dunia Maya
Karena Aku Telah Denganmu - Ari Lasso ft Ariel Tatum
Ari Lasso - Penjaga Hati
Jika - Melly Goeslaw feat Ari Lasso
Ari Lasso - Perbedaan
Kamu Egois - Ari Lasso
Ari Lasso - Terlalu Berarti

Lihat semua :
Chord Ari Lasso
 "
1,Kunci Gitar Ari Lasso - Aku Bukanlah Diriku,Kunci Gitar Ari Lasso - Aku Bukanlah Diriku,"
Transpose:Auto Scroll Light Mode    Dark Mode   Intro : Am Dm Am E

  Am          Dm
haruskah ku bahagia
     G        C
meskiku tidak merasa
      Dm       F
haruskah haruskah
      Am  E
untuk ka..mu

  Am         Dm
entah apakah kamu
    G          C
sadari ataukah kamu
       Dm        Bb
yang memang sengaja
        F   E
tak mau ta..hu

Reff I:
  Am                        Dm
  aku sudah tidak sanggup lagi
  G                       C
  beri kamu hidup palsu ini
  F
  aku bukan diriku
  Dm
  hidup dalam hidupmu
   E                       Am
  sungguh ini bukanlah diriku

Am              F
aku tlah terpenjara
      G            C
di dalam mimpi-mimpimu
     Dm        F
haruskah haruskah
      Am  E
untuk ka..mu

  Am         Dm
entah apakah kamu
    G          C
sadari ataukah kamu
       Dm        Bb
yang memang sengaja
        F   E
tak mau ta..hu

Reff II:
  Am                        Dm
  aku sudah tidak sanggup lagi
  G                       C
  beri kamu hidup palsu ini
  F
  aku bukan diriku
  Dm
  hidup dalam hidupmu
   B                       E
  sungguh ini bukanlah diriku

  Am                   Dm
  tak kan kuteruskan lagi
  G                     C
  lebih baik luka saat ini
  F
  aku bukan diriku
  Dm
  hidup dalam hidupmu
  E                        Am
  sungguh ini bukanlah diriku

Am F Dm  C     G  E
.....Aku bukan a..ku
Am F Dm  C     G  E Am F Am E
.....aku bukan kamu

Reff III:
  Am                        Dm
  aku sudah tidak sanggup lagi
  G                       C
  beri kamu hidup palsu ini
  F
  aku bukan diriku
  Dm
  hidup dalam hidupmu
   B                       E
  sungguh ini bukanlah diriku

  Am                   Dm
  tak kan kuteruskan lagi
  G                     C
  lebih baik luka saat ini
  F
  aku bukan diriku
  Dm
  hidup dalam hidupmu
  D#m               B      E
  sungguh ini bukanlah diriku

Am F Dm  C     G  E
.....Aku bukan a..ku
Am F Dm  C     G  E
.....ini bukan a..ku
Am F Dm  C     G  E Am F Am
.....aku bukan ka...mu

E                        Am
sungguh ini bukanlah diriku


Facebook


Twitter
Chord Ari Lasso - Aku Bukanlah Diriku
Chord Kunci Gitar Terkait:
Ari Lasso - Mengejar Matahari
Ari Lasso - Nelangsa
Ari Lasso - Jalanku Tak Panjang
Antik - Cinta Sejati (Cover Ari Lasso)
Ari Lasso feat. Andra Ramadhan - Indonesia Pasti Bisa
Ari Lasso - Cinta Terakhir
Ari Lasso - Kisah Kita
Ari Lasso - Selamat Jalan Mama
Aku dan Dirimu - Ari Lasso ft Bunga Citra Lestari
HAMPA - Ari Lasso
Satu Cinta - Ari Lasso ft Sandy Canester
Ari Lasso - TULUS
Ari Lasso - Percuma
Ari Lasso - Dunia Maya
Karena Aku Telah Denganmu - Ari Lasso ft Ariel Tatum
Ari Lasso - Penjaga Hati
Jika - Melly Goeslaw feat Ari Lasso
Ari Lasso - Perbedaan
Kamu Egois - Ari Lasso
Ari Lasso - Terlalu Berarti

Lihat semua :
Chord Ari Lasso
 "
2,Kunci Gitar Aneh Tapi Nyata - Rhoma Irama Feat Noer Halimah,Kunci Gitar Aneh Tapi Nyata - Rhoma Irama Feat Noer Halimah,"
Transpose:Auto Scroll Light Mode    Dark Mode   Intro : G Am G (3x) G C G
        G Am G

*)
G
cinta memang aneh
 G
aneh tapi nyata
          G  
kadang-kadang
F         Bm         C
menghembuskan angin surga
          F
kadang-kadang..
           C           G
mengundang datang bencana

**)
         G
kadang-kadang
F         Bm        C
membangun semangat jiwa
          F
kadang-kadang
          C        G
menghancurkan segalanya
G
cinta memang aneh
  G
aneh tapi nyata

Musik  : G F Cm G (2x)
         Am G Am
         G...

Reff:
      Am
  kalau cinta melambai-lambai
      Em
  jiwa rasa dibuai-buai

  Int. Am G Am
       G

        Am
  kalau cinta mengalun-alun
       Em
  jiwa rasa diayun-ayun

Am                    G
 tapi kalau cinta sudah mulai kejam
C            D           G
 tak dahsyat deru angin topan
Am                Bm
 juga kalau cinta sudah mulai gila
C          D           G
 tak ganas gelombang samudera

==Kembali ke : *), #



Facebook


Twitter
Chord Aneh Tapi Nyata - Rhoma Irama Feat Noer Halimah
Chord Kunci Gitar Terkait:
Rhoma Irama - Begadang
Yang Sayang - Dangdut Rhoma Irama
Masa Depan - Dangdut Rhoma Irama
Anak Pertama - Dangdut Noer Halimah
Rhoma Irama - Api dan Lautan
Noer Halimah - Warna Merah
Melodi Cinta - Rhoma Irama
Fatamorgana - Rita Sugiarto ft Rhoma Irama
CANE - Rhoma Irama
Jatuh Cinta - Rhoma Irama
PIANO - Rhoma Irama & Rita Sugiarto
Rhoma Irama - Suratan (feat. Riza Umami)
Rhoma Irama - Gelandangan
HARAM - Rhoma Irama Feat Rita Sugiarto
Cinta Dibalik Terali Besi - Dangdut Noer Halimah
Segalanya Bagiku - Dangdut Rhoma Irama
Rhoma Irama - Dasi dan Gincu (Feat. Riza Umami)
Rhoma Irama - Berdendang (Ft Rita Sugiarto)
Rhoma Irama - Bulan Bintang
Rhoma Irama - Al Qur'an dan Koran

Lihat semua :
Chord Noer HalimahChord Rhoma Irama
 "
3,Kunci Gitar Bunga Citra Lestari - Saat Kau Pergi (BCL),Kunci Gitar Bunga Citra Lestari - Saat Kau Pergi (BCL),"
Transpose:Auto Scroll Light Mode    Dark Mode   Intro : Am F F G
        Am F F

  C        G
Entah mengapa
  Em           Am
hatiku t’rus gelisah
 F       C        G
apa yang kan terjadi..

 C    G
Air mata pun
Em           Am
jatuh tak tertahan
  F    C       G
melihatmu terdiam..

*)
    F        Dm
Ternyata kau pergi
       C   F
tuk s’lamanya
    Dm
tinggalkan diriku
    C    G
dan cintaku...

Reff:
       Am
  Apa kau melihat
   F
  dan mendengar
      C         G
  tangis kehilangan dariku
  Am          F
  baru saja kuingin kau
    C        G
  tahu perasaanku

  Am   F
Padamu...

    C     G
Mungkin Tuhan
    Em        Am
tak izinkan sekarang
    F    C       G
Kau dan aku bahagia

==Kembali ke : *), Reff (2x)

     Dm                    F
Apa kau melihat (kau melihat)
Dm                        F
kau mendengar (kau mendengar)
 Dm                    F  C    G
kau melihat (kau melihat) huu uu..

==Kembali ke : Reff (2x)
               Reff (backing vocal) (2x)




Facebook


Twitter
Chord Bunga Citra Lestari - Saat Kau Pergi (BCL)
Chord Kunci Gitar Terkait:
Kehilangan Kamu - Bunga Citra Lestari (BCL)
Bunga Citra Lestari - Hanya Untukmu
Bunga Citra Lestari - Terpanah Asmara
Kumerindu - Pas Band feat Bunga Citra Lestari
Bunga Citra Lestari (BCL) - Memilih Dia
Bunga Citra Lestari - Hari Bahagia (feat. Daniel Christianto)
Bunga Citra Lestari - Tundukkan Dunia (OST. 3 Srikandi)
Bunga Citra Lestari - Harta Berharga (Ost. Keluarga Cemara)
BCL - 12 Tahun Terindah
Bunga Citra Lestari (BCL) - Selamanya Cinta
Bunga Citra Lestari - Cinta Sejati (OST Habibie Ainun)
Bunga Citra Lestari - Karena Ku Cinta Kau
Jangan Gila - Bunga Citra Lestari
Bunga Citra Lestari - Aku Bisa Apa (OST. Jilbab Traveler)
Bunga Citra Lestari - Kecewa
NOAH Feat. Bunga Citra Lestari - Mencari Cinta
Bunga Citra Lestari - Cinta Yang Terindah
Bulan Penuh Ampunan - Bunga Citra Lestari (BCL)
Bunga Citra Lestari - Tentang Kamu
Bunga Citra Lestari - Aku Tak Mau Sendiri

Lihat semua :
Chord Bunga Citra Lestari
 "
4,Kunci Gitar Bunga Citra Lestari - Hanya Untukmu,Kunci Gitar Bunga Citra Lestari - Hanya Untukmu,"
Transpose:Auto Scroll Light Mode    Dark Mode   Intro : C G F G (2x)

Am   G            F
..Rasanya tak ingin berakhir
Am     G         F
..Saat kita rasa bahagia
Am      G             F
..Hidup penuh dengan misteri
Am       G           F
..Kadang sulit kita jalani

*)
G           F
Takkan bisa ku sendiri
G         F             G
Meraih mimpi tanpa cintamu

Reff I:
       C    Em        F
  Terlalu indah tuk dibayangkan
       C    Em           F
  Terlalu manis untuk di kenang
    Am        G        F
  Karena engkau ku ada di sini
      Am    G        F      Dm
  Kau selalu..ada di hatiku
  G          C
  dan di cintaku

Musik : C G F G

*)
G           F
Takkan bisa ku sendiri
G         F             G
Meraih mimpi tanpa cintamu

Reff II:
       C    Em        F
  Terlalu indah tuk dibayangkan
       C    Em           F
  Terlalu manis untuk di kenang
    Am        G        F
  Karena engkau ku ada di sini
      Am    G        F      Dm
  Kau selalu..ada di hatiku 
            G          A
  dan di cintaku.. cintaku..huu

      D    F#m         G
  Terima kasih telah memilihku
          D   Bm        G
  kan ku jaga cintamu selamanya
      Bm        A            G
  Ku kan selalu...jadi yang terbaik
     Bm      A        G        F#m-Em A
  Melantunkan melodi terindah
          D     G D
  Hanya untukmu..




Facebook


Twitter
Chord Bunga Citra Lestari - Hanya Untukmu
Chord Kunci Gitar Terkait:
Bunga Citra Lestari - Cinta Yang Terindah
NOAH Feat. Bunga Citra Lestari - Mencari Cinta
Bunga Citra Lestari - Tundukkan Dunia (OST. 3 Srikandi)
Aku dan Dirimu - Ari Lasso ft Bunga Citra Lestari
Bunga Citra Lestari - Hari Bahagia (feat. Daniel Christianto)
Jangan Gila - Bunga Citra Lestari
Bunga Citra Lestari - Karena Ku Cinta Kau
Bunga Citra Lestari (BCL) - Wanita Terbahagia
Kumerindu - Pas Band feat Bunga Citra Lestari
Kehilangan Kamu - Bunga Citra Lestari (BCL)
BCL - 12 Tahun Terindah
Bunga Citra Lestari - Saat Kau Pergi (BCL)
Bunga Citra Lestari - Harta Berharga (Ost. Keluarga Cemara)
Bulan Penuh Ampunan - Bunga Citra Lestari (BCL)
Bunga Citra Lestari - Terpanah Asmara
Bunga Citra Lestari (BCL) - Selamanya Cinta
Bunga Citra Lestari (BCL) - Memilih Dia
Bunga Citra Lestari - Ingkar
Bunga Citra Lestari - Aku Bisa Apa (OST. Jilbab Traveler)
Bunga Citra Lestari - Karena Kita Bersama

Lihat semua :
Chord Bunga Citra Lestari
 "
5,Kunci Gitar Malam Malam Panjang - Katon Bagaskara,Kunci Gitar Malam Malam Panjang - Katon Bagaskara,"
Transpose:Auto Scroll Light Mode    Dark Mode   Intro : C-G-F..(2x)

        C       Am
di saat kumulai menyadari
  F                   G
lebih baik tuk hidup sendiri
           C        Am
pintu yang terkunci sekian lama
    F                     G
tak akan pernah ingin kubuka

  Gm        C             F
sekejap kau datang dan mengetuknya
Fm        Bb        D#
memaksa aku sekilas memandang
  D   G        C    F
sejak saat itu parasmu
    Dm          C         Bb
tak mampu terhapus di benakku

Reff I:
           C       F
  malam-malam panjang
        Dm          G
  berlalu dalam gundah
         C    F   G
  merenungi diri ini,..
          C    F
  adakah kau peri
        E          Am
  mengajak aku terbang
         F -Em-Dm         C-G-F
  ke impian.......bahagia?

          C       Am
kuingin kau tahu dan pahami
      F              G
tak mudah bagiku tuk berubah
       C             Am
dari sikap ragu dan, tak percaya
   Dm          F       G
kisah kita kan usir semua

Gm        C          F
bagaimana dapat aku jelaskan
Fm         Bb        D#
perasaan padamu semakin dalam
  D    G         C    F
biar terhanyut kunikmati
  Dm           C          Bb
mohon cintaku jangan berakhir

Reff II:
          C       F
  malam-malam panjang
       Dm         G
  kita rajut bersama
         C      F   G
  penantian dan harapan
         C     F
  dua pasang mata
      E         Am
  dibenam kemesraan
            F-Em-Dm
  sinar bulan......menentramkan

Musik : G D Dm-Em-F F-Em-Dm
        G D Dm-Em-F

Reff II:
              C   -F
  malam-malam panjang
       Dm         G
  kita rajut bersama
          C     F   G
  penantian dan harapan
         C     F
  dua pasang mata
      E         Am
  dibenam kemesraan
            F-Em-Dm
  sinar bulan....

              C   -F
  malam-malam panjang
        Dm          G
  berlalu dalam gundah
         C    F   G
  merenungi diri ini,..
          C    F
  adakah kau peri
        E          Am
  mengajak aku terbang
         F -Em-Dm         C-G-F
  ke impian.......bahagia?

Outro : C-G-F.. C


Facebook


Twitter
Chord Malam Malam Panjang - Katon Bagaskara
Chord Kunci Gitar Terkait:
KLA Project - Waktu Tersisa
Kla Project - Gerimis
Katon Bagaskara - Cinta Selembut Awan
KLa Project - Kita Kan Bisa
Usah Kau Lara Sendiri - Katon Bagaskara ft Ruth Sahanaya
Katon Bagaskara - Kadang
Kla Project - Menjemput Impian
KLa Project - Meski Tlah Jauh
Kla Project - Terpurukku Di Sini
Kla Project - Tak Bisa Ke Lain Hati
Katon Bagaskara - Dinda Dimana
Katon Bagaskara - Negeri Di Awan
Kla Project - ROMANSA

Lihat semua :
Chord Katon BagaskaraChord Kla Project
 "
6,Kunci Gitar Achmad Albar - Sudahlah Aku Pergi (Gong 2000),Kunci Gitar Achmad Albar - Sudahlah Aku Pergi (Gong 2000),"
Transpose:Auto Scroll Light Mode    Dark Mode   Intro : Am Em Dm Am -G

    Am                F
Sungguh aku tak mengerti
 Am     F        C  G
Kau ingkari janjimu..
 Am                   F
Aku tak kan sanggup lagi
    Am     F        G
Menerima kepedihan ini..

Reff :
        C  Bm       Am  G
  Sudahlah...aku pergi
         F               C
  Untuk apa menunggu janji
              Dm  G
 Yang tak pasti...
       C  Bm        Am  F
  Biarlah....kusendiri ....
       C      Dm  G     C
  Akan kubawa kepedihanku

   Am               F
Angin dengar kata hati
   Am       F      C  G
Nyanyian duka semesta
  Am              F
Bawa ke dalam damaimu
    Am    F        G
Disini duka kudapati

Reff  2:
        C  Bm       Am  G
  Sudahlah...aku pergi
         F              C
  Untuk apa menunggu janji
              Dm  G
  Yang tak pasti houoo
      C  Bm       Am  F
  Biarlah...kusendiri
       C      Dm   G    C
  Akan kubawa kepedihanku

Dm                    C -Bb  Bb-C
Sampai kapan hidupku begini
Dm                C   Bb   F
Kepalsuan semakin merajalela
Dm                   C     Bb
Kasih sayang kehilangan makna
   F     Dm         G
Semua menjadi percuma..

Interlude :  C Bm Am G
             F C Dm G

Reff III:
      C  Bm       Am  F
  Biarlah...kusendiri
       C      Dm   G    C
  Akan kubawa kepedihanku

        C  Bm       Am  G
  Sudahlah...aku pergi
         F              C
  Untuk apa menunggu janji
              Dm  G
  Yang tak pasti houoo
      C  Bm       Am  F
  Biarlah...kusendiri
       C      Dm   G    C
  Akan kubawa kepedihanku

Outro : Am Em Dm Am Em-G-Am



Facebook


Twitter
Chord Achmad Albar - Sudahlah Aku Pergi (Gong 2000)
Chord Kunci Gitar Terkait:
Gong 2000 - Alam dan Penguasa (God Bless)
God Bless - Rumah Kita
God Bless - Damai
God Bless - Untuk Indonesiaku
Gong 2000 - Tanpa Kata
Ahmad Albar - Derita jiwa
Gong 2000 - Hanya Satu
Gong 2000 - Menanti Kejujuran
Cinta Yang Hilang - Gong 2000
Jangan Ada Luka - Nicky Astria Feat Achmad Albar

Lihat semua :
Chord Achmad AlbarChord God BlessChord Gong 2000
 "
7,Kunci Gitar Green Day - Good Riddance (Time of Your Life),Kunci Gitar Green Day - Good Riddance (Time of Your Life),"
Transpose:Auto Scroll Light Mode    Dark Mode   Intro : G G
        G G C D (2x)

G
Another turning point
  C                   D
A fork stuck in the road
G
Time grabs you by the wrist
        C                D
And directs you where to go

Em           D
So make the best of this
 C                 G
Test and don`t ask why
Em         D
It`s not a question but
  C                   G
A lesson learned in time

*)
        Em                 G
  Its something unpredictable
      Em                  G
  But in the end it`s right
      Em               D
  I hope you had the time
            G
  Of your life...

Musik : G G C D (2x)

G
So Take the photographs and
  C                    D
Still frames in your mind
G
Hang it on a shelf and
    C                     D
in good health and good time

Em          D
Tattoos the memories and
      C            G
This test go on trial
Em               D
For what it`s worth
        C               G
It was worth all the while

*)
        Em                 G
  Its something unpredictable
      Em                  G
  But in the end it`s right
      Em               D
  I hope you had the time
            G
  Of your life...

Musik : G G C D (4x)
        Em D C G (2x)

*)
        Em                 G
  Its something unpredictable
      Em                  G
  But in the end it`s right
      Em               D
  I hope you had the time
            G
  Of your life...

Musik : G G C D (4x)

*)
        Em                 G
  Its something unpredictable
      Em                  G
  But in the end it`s right
      Em               D
  I hope you had the time
            G
  Of your life...

Outro : G G C D (2x)
        G..


Facebook


Twitter
Chord Green Day - Good Riddance (Time of Your Life)
Chord Kunci Gitar Terkait:
Green Day - Holiday
Green Day - Pollyanna
Green Day - Brain Stew (Jaded)
Green Day - Minority
Green Day - 21 Guns
Green Day - Dreaming
Green Day - Wake Me Up When September Ends
Green Day - Jesus Of Suburbia
Green Day - Boulevard of Broken Dreams

Lihat semua :
Chord Green Day
 "
8,Kunci Gitar Anggun C. Sasmi - Sendiri (May),Kunci Gitar Anggun C. Sasmi - Sendiri (May),"
Transpose:Auto Scroll Light Mode    Dark Mode   Intro : Am Dm G Am

Am            Dm
Dinginnya di malam ini
G          Am
Suasana pilu..
Am         Dm
Terkenang aku kembali
G         Am
kemasa silam..

Am          Dm
Setelah engkau pergi
G        Am
Sepi hatiku..
Am          Dm
Padam sudah api cinta
G             Am  -G
Musnahlah harapan

     F
Mengapa engkau sanggup
  Em
Berubah pikiran
      F
Hanya karena
           Em
Peristiwa itu...

        F
Kau hancurkan api cinta
       G
Yang kita bina bersama
     C         E
Di masa Yang lalu..

Reff:
  C              G
  Kini aku terus tersiksa
  F              G
  Oleh kepalsuan cintamu
  C              G      G-Am
  Tinggallah aku sendiri
  Bb                 E
  Menanggung derita ini..

Musik : Am Dm G Am (2x)
        F C G Am F C E..(2x)

Am          Dm
Setelah engkau pergi
G            Am
Tertutup hatiku..
Am              Dm
Tak mungkin bercinta lagi
G         Am
Biarku sendiri..

Outro : F C G Am F C E..
        F C G Am F G Am

\Original chord///

Intro : G#m C#m F# G#m

G#m          C#m
Dinginnya di malam ini
F#        G#m
Suasana pilu..
G#m        C#m
Terkenang aku kembali
F#        G#m
Kemasa silam

G#m        C#m
Setelah engkau pergi
F#       G#m
Sepi hatiku
G#m         C#m
Padam sudah api cinta
F#            G#m  -F#
Musnahlah harapan

     E
Mengapa engkau sanggup
  D#m
Berubah pikiran
        E
Hanya karena
           D#m
Peristiwa itu...

       E
Kau hancurkan api cinta
       F#
Yang kita bina bersama
     B         D#
Di masa Yang lalu

Reff:
  B              F#
  Kini aku terus tersiksa
  E              F#
  Oleh kepalsuan cintamu
  B              F#     F#-G#m
  Tinggallah aku sendiri
  A                  D#
  Menanggung derita ini..

Musik : G#m C#m F# G#m (2x)
        E B F# G#m E B D#..(2x)

G#m         C#m
Setelah engkau pergi
F#          G#m
tertutup hatiku
G#m            C#m
Tak mungkin bercinta lagi
F#        G#m
Biarku sendiri..

Outro : E B F# G#m E B D#
        E B F# G#m E F# G#m


Facebook


Twitter
Chord Anggun C. Sasmi - Sendiri (May)
Chord Kunci Gitar Terkait:
Anggun - Berkilaulah
Kotak Feat. Anggun - Teka Teki
Anggun - Kembali
Anggun - Yang Ku Tunggu
Anggun - Mimpi
Anggun - Hanyalah Cinta
Anggun - Bayang Bayang Ilusi
Anggun - Jadi Milikmu
Anggun - Yang Terlarang
Anggun - Tua Tua Keladi
Anggun - Takut

Lihat semua :
Chord Anggun
 "
9,Kunci Gitar Irwansyah - CLBK (Cinta Lama Bersemi Kembali),Kunci Gitar Irwansyah - CLBK (Cinta Lama Bersemi Kembali),"
Transpose:Auto Scroll Light Mode    Dark Mode   Intro : C..

C                Em
Bertemu denganmu sekian detik
       F   Am
Cukup membuatku
    Dm                  G
Mengingat kepada saat dulu
     Am      Dm   D       G
Kita berdua..menjalin cinta..

C               Em
Ku rasakan getaran itu ada
       F    Am
Saat kau menatap
    Dm                   G
dan berikan senyummu padaku
        Am    Dm   D    G  F-G
Mungkin saja..kita kembali

Reff I:
  F      G
  Benci aku karena
    Em            Am
  Jatuh cinta padamu
           F
  Bekas kekasihku
          G                C  F-C
  Cinta lama bersemi kembali

C                 Em
Akan ku lihat kesempatan ini
     F    Am
Baik atau tidaknya
  Dm                     G
Untuk kita kembalikan cinta
     Am        Dm     D    G
Kita dulu yang pernah terputus

  C                Em
Bila cinta lama bersemi kembali
      F    Am
Bukan satu dosa
   Dm                   G
Ataupun bencana untuk kita
     Am   Dm   D    G  F-G
Coba saja biar ku coba

Reff II:
  F      G
  Benci aku karena
    Em            Am
  Jatuh cinta padamu
          F
  Bekas kekasihku
          G
  Cinta lama itu
            Em
  Mungkin saja..
                Am
  Kan kembali lagi
         F       G
  Bersamamu hou ooo
               C
  Bekas kekasihku..

Musik : C Am F G F G

==Kembali ke : Reff II

Outro : C..

\Original chord///

Intro : Bb..

 Bb                Dm
Bertemu dengan mu sekian detik
       D#   Gm
Cukup membuatku
   Cm                   F
mengingat kepada saat dulu
      Gm     Cm   C      F
Kita berdua menjalin cinta..

Bb              Dm
Ku rasakan getaran itu ada
      D#    Gm      
Saat kau menatap
    Cm                    F
Dan berikan senyummu padaku
        Gm   Cm   C    F   D#-F
Mungkin saja kita kembali

Reff I:
  D#     F
  Benci aku karena
    Dm           Gm
  Jatuh cinta padamu
          D#
  Bekas kekasihku
          F               Bb D#-Bb
  Cinta lama bersemi kembali

Bb               Dm
Akan ku lihat kesempatan ini
     D#    Gm
Baik atau tidaknya
      Cm                 F
Untuk kita kembalikan cinta
     Gm         Cm    C     F
Kita dulu yang pernah terputus

  Bb                Dm
Bila cinta lama bersemi kembali
       D#  Gm
Bukan satu dosa
  Cm                    F
Ataupun bencana untuk kita
     Gm   Cm   C    F   D#-F
Coba saja biar ku coba

Reff II:
  D#     F
  Benci aku karena
    Dm           Gm
  Jatuh cinta padamu
          D#
  Bekas kekasihku
          F
  Cinta lama itu
            Dm
  Mungkin saja..
                Gm
  Kan kembali lagi
         D#      F
  Bersamamu hou ooo,.,
              Bb
  Bekas kekasihku

Interlude : Bb Gm D# F D# F

==Kembali ke : Reff II

Outro : Bb..


Facebook


Twitter
Chord Irwansyah - CLBK (Cinta Lama Bersemi Kembali)
Chord Kunci Gitar Terkait:
Irwansyah - Camelia
Acha Septriasa feat. Irwansyah - Ada Cinta
Irwansyah - Pecinta Wanita
Irwansyah feat. Zaskia Sungkar - Harim Di Tanah Haram
My Heart - Acha Ft Irwansyah

Lihat semua :
Chord Irwansyah
 "
