,artiss,juduls,chords
147,Tiari Bintang,Tiari Bintang Swalapatresna,"[INTRO]
F#m C#m D A E (2x)
F#m F#m-G
F#m F#m-G#m

A        E            F#m
Serasa liang manah titiang
D          E           A   E
Rikala nguace surat beline
A              E              F#m
Nyambatang tresna kapining titiang
D         E          A  E
Serasa mangulayang kenehe

A         E             F#m
Uli pidan titiang nyantosang
D        E            A     E
Ragan beline nekedang tresna
A            E          F#m
Wireh titing masih ngraseyang
D          E           A   A-G#m-F#m
Kajatuh tresna kapening beli

[REFF]
F#m          C#m    D            A E
Titiang misadia nerima tresnan beline
F#m             C#m       D                A E
Yening mula sujati tresna uling dasaring hati
F#m         C#m    D           A E
Titiang misadia nerima ragan beline
F#m            C#m        D                E
Yening mula sujati tresna uling dasaring hati

[INTERLUDE]
F#m C#m D A E
F#m F#m-G
F#m F#m-G#m

A         E          F#m
Mebunga rasa keneh titiang
D           E        A     E
Meles ragan beli ngelemesin
A           E           F#m
Tan waneh-waneh dewek titiang
D              E          A A-G#m-F#m
Ngwace lan ngwace surat beline

[REFF]
F#m          C#m    D            A E
Titiang misadia nerima tresnan beline
F#m             C#m       D                A E
Yening mula sujati tresna uling dasaring hati
F#m         C#m    D           A E
Titiang misadia nerima ragan beline
F#m            C#m        D                E
Yening mula sujati tresna uling dasaring hati

[OUTRO]
F#m C#m D A E (2x)
F#m F#m-G F#m"
177,Bayu Cuaca,Bayu Cuaca Tunangan Langka,"[INTRO]
F#
B G#m E F#
B G#m E F#

 B         G#m
Beli demen ken adi
   E               F#
Semengan ngaenang beli kopi
  B           G#m
Tusing care mantan beli
   E             F#
Semengan pules kanti tengai

          G#m
Sing taen nyampat
         E
Sing taen masak
         F#
Sing taen manting

   B          G#m
Melenan san teken adi
   E        F#
Sebilang wai mebakti
  B                   G#m
Nunas ica ring Hyang Prama Kawi
E              F#
Apang irage polih rejeki

C#m      B
Ane jejehin beli
C#m       B
Adi ngalahin beli
C#m     F#
Ulian bikas beli

[REFF]
B        G#m
Ibi beli sing mulih
 E       F#
Ulian ujane bales
B         G#m
De je adi ngambul
E       F#
Lan mani melali

[REFF]
B        G#m
Ibi beli sing mulih
 E       F#
Ulian ujane bales
B         G#m
De je adi ngambul
E       F#
Lan mani melali

[MELODI]
B G#m E F# 
B G#m E F# 
B G#m E F# 
B G#m E F# 

C#m      B
Ane jejehin beli
C#m       B
Adi ngalahin beli
C#m      F#
Ulian bikas beli

[REFF]
B        G#m
Ibi beli sing mulih
 E       F#
Ulian ujane bales
B         G#m
De je adi ngambul
E       F#
Lan mani melali

[REFF]
B        G#m
Ibi beli sing mulih
 E       F#
Ulian ujane bales
B         G#m
De je adi ngambul
E       F#
Lan mani melali

B    G#m
Huuu... huu...
E     F#
Huuu... huu...
B    G#m
Huuu... huu...
E     F#
Huuu... huu...

[OUTRO]
B G#m E F#
B G#m E F#
B"
187,703 Band,703 Band Tulus Tersakiti,"[INTRO]
F F/E F F/E
F F/E Dm D
Bb Am Gm

   F      F/E   Dm
Perih yen beli ngingetang
              Bb     Am    Gm
Saat adi khianati tulus hati jak adi

    F       F/E   Dm
Andai adi sadari ini
           Bb     Am   Gm
Betap perihnya beli jalani hidup
  C          Bb     C    F
Kini beli engsapang makejang

   F      F/E       Dm
Jujur beli sube sing tahan
          Bb          Am    Gm
Mencintai adi dengan sepenuh hati

   F             F/E        Dm
Mungkin beli bukanlah yang terbaik
               Bb    Am     Gm
Tuk disamping adi menemani adi
   C      Bb        C   F
Maaf dan inilah yang terakhir

[REFF]
F                 Bb          C
Yen ngidang beli memutar waktu oo..
           F   F/E     Dm
Sing ingin beli ngelahang adi
             Bb           C
Yen terus adi ulangi menyakiti beli

             Bb           C
Depang beli ane mengalah oo...
               F            F/E     Dm
Beli yakin cinta sing harus ngelahang adi
               Bb          C
Meski beli ane terluka mencintai adi
               F    F/E  F  F/E
Seumur hidup beli

  F       F/E       Dm
Jujur beli sube sing tahan
          Bb          Am    Gm
Mencintai adi dengan sepenuh hati

   F            F/E        Dm
Mungkin beli bukanlah yang terbaik
               Bb    Am     Gm
Tuk disamping adi menemani adi
   C      Bb        C   F
Maaf dan inilah yang terakhir

[MELODI]
Bb C F F/E
Dm D Bb C

                   Bb          C
Yen ngidang beli memutar waktu oo..
           F   F/E       Dm
Sing ingin beli ngelahang adi
            Bb           C
Yen terus adi ulangi menyakiti beli

[REFF]
F                 Bb          C
Yen ngidang beli memutar waktu oo..
           F    F/E    Dm
Sing ingin beli ngelahang adi
            Bb           C
Yen terus adi ulangi menyakiti beli

             Bb           C
Depang beli ane mengalah oo...
               F           F/E    Dm
Beli yakin cinta sing harus ngelahang adi
                Bb          C
Meski beli ane terluka mencintai adi
                F    F/E  F  F/E
Seumur hidup beli"
131,703 Band Bali,703 Band Bali Tulus Tersakiti,"[INTRO]
F F/E F F/E
F F/E Dm D
Bb Am Gm

   F          F/E     Dm
Perih yen beli ngingetang
                      Bb       Am      Gm
Saat adi khianati tulus hati jak adi

    F         F/E     Dm
Andai adi sadari ini
                 Bb       Am     Gm
Betap perihnya beli jalani hidup
  C              Bb       C      F
Kini beli engsapang makejang

   F          F/E         Dm
Jujur beli sube sing tahan
                Bb              Am      Gm
Mencintai adi dengan sepenuh hati

     F                     F/E            Dm
Mungkin beli bukanlah yang terbaik
                       Bb    Am       Gm
Tuk disamping adi menemani adi
     C        Bb            C   F
Maaf dan inilah yang terakhir

[REFF]
F                           Bb                C
Yen ngidang beli memutar waktu oo..
                 F     F/E       Dm
Sing ingin beli ngelahang adi
                   Bb                 C
Yen terus adi ulangi menyakiti beli

                   Bb                 C
Depang beli ane mengalah oo...
                       F                  F/E       Dm
Beli yakin cinta sing harus ngelahang adi
                       Bb                C
Meski beli ane terluka mencintai adi
                       F    F/E  F  F/E
Seumur hidup beli

  F           F/E         Dm
Jujur beli sube sing tahan
                Bb              Am      Gm
Mencintai adi dengan sepenuh hati

     F                    F/E            Dm
Mungkin beli bukanlah yang terbaik
                       Bb    Am       Gm
Tuk disamping adi menemani adi
   C          Bb            C   F
Maaf dan inilah yang terakhir

[MELODI]
Bb C F F/E
Dm D Bb C

                             Bb                C
Yen ngidang beli memutar waktu oo..
                 F     F/E         Dm
Sing ingin beli ngelahang adi
                    Bb                 C
Yen terus adi ulangi menyakiti beli

[REFF]
F                           Bb                C
Yen ngidang beli memutar waktu oo..
                 F      F/E      Dm
Sing ingin beli ngelahang adi
                    Bb                 C
Yen terus adi ulangi menyakiti beli

                   Bb                 C
Depang beli ane mengalah oo...
                         F                 F/E      Dm
Beli yakin cinta sing harus ngelahang adi
                        Bb                C
Meski beli ane terluka mencintai adi
                        F    F/E  F  F/E
Seumur hidup beli"
168,Lolot,Lolot Kasmaran,"[INTRO]
F Dm Bb C (2x)

     F            Dm
Oh angin bulan bintang
         Bb           C
Tulungin je tiang mangkin
     F            Dm
Oh angin bulan bintang
        Bb           C
Minab wenten tamba utama

[REFF]
F   Dm     Bb       C
Kasmaran...dewek titiang mangkin
F   Dm     Bb              C
Kasmaran...bengong sing mekite ngujang

F             Dm
Sesukat tiang menyingak
  Bb                C
Kenyem iluh manying menggoda
F             Dm
Sesukat tiang manyingak
       Bb     C
Kulit iluh putih gading

[REFF]
F   Dm     Bb       C
Kasmaran...dewek titiang mangkin
F   Dm
Kasmaran...
Bb             C        F Dm Bb C
Bengong sing mekite ngujang

F     Dm    Bb      C
Beli tresna tuah kapining a...
F  Dm  Bb       C
Diastun tumben kete...
F    Dm   Bb  C
Mula saja beli
F      Dm    Bb       C        F
Demene mentik uling dasar ring hati

Dm   Bb  C
Oo...o...oo...
F   Dm  Bb   C
O...oo...o...oo...

[MELODI]
Bb C F Dm
Bb C F
Bb C F Dm
Bb C F

     F            Dm
Oh angin bulan bintang
         Bb           C
Tulungin je tiang mangkin
     F            Dm
Oh angin bulan bintang
        Bb           C
Minab wenten tamba utama

F             Dm
Sesukat tiang menyingak
         Bb                  C
Kenyem iluh ne manying menggoda
F             Dm
Sesukat tiang menyingak
       Bb       C
Kulit iluh ne putih gading

[REFF]
F   Dm     Bb       C
Kasmaran...dewek titiang mangkin
F   Dm
Kasmaran...
Bb             C        F Dm Bb C
Bengong sing mekite ngujang

F     Dm    Bb      C
Beli tresna tuah kapining a...
F  Dm  Bb       C
Diastun tumben kete...
F    Dm   Bb  C
Mula saja beli
F      Dm    Bb       C        F
Demene mentik uling dasar ring hati

F     Dm    Bb      C
Beli tresna tuah kapining a...
F  Dm  Bb       C
Diastun tumben kete...
F    Dm   Bb  C
Mula saja beli
F      Dm    Bb       C        F
Demene mentik uling dasar ring hati

[OUTRO]
Dm   Bb   C
Oo...o...oo...
F   Dm   Bb   C F
O...oo...o...oo..."
110,Rocktober,Rocktober Takut Kehilangan,"[INTRO]
F Bb Gm C
F D# Dm C Bb
Dm C Bb C

F               Bb
Tiang nawang kenken rasane
       Dm         C          Bb
Yen beli pesu mepayas bagus jejeh atin tiang
     Dm             C
Di pikiran tiang membayangkan
Bb
Ane tusing-tusing

F              Bb
Beli nawang kenken rasane
      Dm          C
Yen adi pesu mepayas jegeg
     Bb
Keto masi ne rasayang beli

Dm            C
Tiang seken takut
            Bb
Beli masi takut
              C
Kehilangan beli

[REFF]
         F
Tiang ne seken sayang
        Bb
Seken takut kehilangan
         Dm      C      Bb
Beli ne bagus ne jani gelahang tiang

        F
Beli ne seken sayang
       Bb
Masi takut kehilangan
       Dm       C      Bb
Adi ne jegeg ne jani gelahang beli

[MELODI]
F D# A#
F D# A#
C Bb C Bb
Dm

Dm                           C
Sing ade maksud beline nembahin adi
     Bb
Pesu pedidi lakar melali
Dm                           C     Bb
To mekejang ulian tresnan beline..adi

[REFF]
         F
Tiang ne seken sayang
        Bb
Seken takut kehilangan
         Dm      C      Bb
Beli ne bagus ne jani gelahang tiang

        F
Beli ne seken sayang
       Bb
Masi takut kehilangan
       Dm       C      Bb
Adi ne jegeg ne jani gelahang beli

         F
Tiang ne seken sayang
        Bb
Seken takut kehilangan (beli masi takut)
         Dm      C      Bb
Beli ne bagus ne jani gelahang tiang

        F
Beli ne seken sayang
       Bb
Masi takut kehilangan (tiang masi takut)
       Dm       C      Bb
Adi ne jegeg ne jani gelahang beli

        Dm       C       Bb
Beli ne bagus ne jani gelahang tiang
        Dm      C      Bb
Adi ne jegeg ne jani gelahang beli
F               Bb
Tiang nawang kenken rasane"
126,Lolot,Lolot Gumine Mangkin,"[INTRO]
Em
Em G C Bm D (2x)

Em        G         C            Bm D
Suaran bedil jerit eling tan pererenan
Em     G           C     Bm    D
Manuse matingkah buron ngreresin
Em     G           C          Bm    D
Sane lemah tanpa daya sinah pacang kaon

Em     G          C
Sane kuat sinah menang
           Bm        Em G C Bm D
Nguwase nguwaseyang gumi
        Em G C Bm D
Nguwase gumi
      Em G C Bm D     Em G C Bm D
Nguwaseyang...nguwase gumi

Em     G       C     Bm    D
Ajaran agama hukum tusing ade arti
Em       G          C Bm D
Sampun dados perhiasan
Em           G          C
Anggen ngengkebang sekancan
  Bm     D     Em
Berek sane wenten mangde

G     C          Bm   D Em G C Bm D
Kasengguh manusa sane utama
   Em G C Bm D
Pahlawan...
   Em G C Bm D
Pahlawan...
   Em G C Bm D
Pahlawan...

[REFF]
Em                C
Reformasi demi rakyat
        G              D
Senjata utama mangde side
Em                 C
Menek negak di beduur
        G            D
Mangde elahan...korupsi

[INTERLUDE]
Em
Em G C Bm D (2x)

Em       G             C  Bm        D  Em
Rakyat cerik ngangsan wai ngangsan nyerikang
      G              C      Bm D
Isi paon ngangsan ngemaalang
Em      G            C
Bapak-bapak ring beduur
Bm          D   Em
Ngangsan ngemokohang

       G           C
Reformasi segala bidang
Bm D     Em G C Bm DSampun dados
  Em G C  Bm  D    Em G C Bm D
Korupsi...segala bidang
   Em G C Bm D
Korupsi...

[REFF] (2x)
Em                       C
Titiang nganti bengang-bengong ningeh
G                                   D
Keduwegan bapak ngomong ngitukang layah
Em               C
Ede malu bapak kenyam-kenyem
     G                          D
Dikedituan sedia tongos kelas satu

            Em G C Bm D
Ditu di neraka...
       Em G C Bm D
Di neraka...
       Em G C Bm D
Di neraka...
       Em G C Bm D
Di neraka...

       Em G C Bm D
Di neraka...
       Em G C Bm D
Di neraka...
       Em G C Bm D
Di neraka...
       Em G C Bm D   Em
Di neraka...  di neraka..."
152,Kis Band,Kis Band Teh dan Pelangi,"[INTRO]
Em G Am Em

Em                       G
Sadarkah kau sangat ku perlukan
     Am                 Em
Sadarkah kau setengah jiwaku
     Em                      G
Tapi harus ku relakan engkau pergi
      Am                    Em
Harus bersiap-siap saat ini terjadi

Em                        G
Pertemuan pasti ada perpisahan
     Am                   Em
Tak ada yang kekal selain waktu
      C                   G
Indahnya masa-masa itu apalah kini dayaku
       Am                Em
Kau mesti lanjutkan hidupmu

    C
Kuatlah kau disana
     Bm
Sehatlah kau disana
      Am            Em
Setialah kau disana ya...

       C
Bahagialah kau disana
       Bm
Senyumlah kau disana
       Am                       D
Sampai nanti kita berjumpa disini

[REFF]
          G   D        Em D
Secangkir teh dan pelangi
       C Bm       Am D
Obatku melawan sepi
        G   D      Em D
Temani sore hari ini
         C     Bm       Am D
Menunggu kabar mesra darimu

[MELODI]
G D Em D (2x)
C Bm Am D (2x)
Apa kabar rindu? Terima kasih telah menemaniku setiap hari dan menjadi teman dalam lamunanku.
Rindu, pernahkah kau berkunjung ke hatinya?
Walau sejenak adakah kau menemukan aku disana?
Pernahkah dia bercerita tentang aku kepadamu?
Andai aku dapat mendengarmu rindu...

    C
Kuatlah kau disana
     Bm
Sehatlah kau disana
      Am            Em
Setialah kau disana ya...

       C
Bahagialah kau disana
       Bm
Senyumlah kau disana
       Am                       D
Sampai nanti kita berjumpa disini

[REFF] (2x)
          G   D        Em D
Secangkir teh dan pelangi
       C Bm       Am D
Obatku melawan sepi
        G   D      Em D
Temani sore hari ini
         C     Bm       Am D
Menunggu kabar mesra darimu

D         G
Mesra darimu

Di dalam hati hanya ada rindu
Sehabis hujan pasti datang indah pelangi"
148,Nanoe Biroe,Nanoe Biroe Manyama,"[INTRO]
Em G (2x)

Em                       G
Tusing merasa galah mejalan
Em                      G
Mejalan nyalanang kehidupan
Em                   G
Jani sube pade mekurenan
Em                  G
Ngubu ditongos maelenan

        Am7                     D
Inget dugas cenik iraga sai mapalyan
            G                   Em
Mapalyan guli melali nunjuk layangan
       Am                  D
Liu ne berubah to dadi kenangan

[REFF]
                C
Ada ne sing berubah
           G
Rasa iraga manyama
               Am
Jele melah enu manyama
                Em
Suka duka tetep manyama

                  C
Mogi sing kal berubah
           G
Rasa iraga manyama
               Am
Asah asih asuh manyama
                  Em      G
Nganti mati tetep manyama

Em                 G
Diastun iraga maejohan
Em                 G
Rasa manyama mabesikan
Em                    G
Manyama saling merindukan
Em                   G
Manyama saling memaafkan

        Am
Inget dugas pidan
             D
Madaaran barengan
         G                   Em
Dipan abesik masare ditu barengan
       Am                   D
Liu ne berubah to dadi kenangan

[REFF]
                C
Ada ne sing berubah
           G
Rasa iraga manyama
               Am
Jele melah enu manyama
                Em
Suka duka tetep manyama

                  C
Mogi sing kal berubah
           G
Rasa iraga manyama
               Am
Asah asih asuh manyama
                  Em
Nganti mati tetep manyama

[MELODI]
C D Bm B Em D C
Am Bm C#m D Em
Em D C

[REFF]
                C
Ada ne sing berubah
           G
Rasa iraga manyama
               Am
Jele melah enu manyama
                Em
Suka duka tetep manyama

                  C
Mogi sing kal berubah
           G
Rasa iraga manyama
               Am
Asah asih asuh manyama
                  Em
Nganti mati tetep manyama

[REFF]
                C
Ada ne sing berubah
           G
Rasa iraga manyama
               Am
Jele melah enu manyama
                Em
Suka duka tetep manyama

                  C
Mogi sing kal berubah
           G
Rasa iraga manyama
               Am
Asah asih asuh manyama
                  Em
Nganti mati tetep manyama

Em                    G
Nganti kiamat nu manyama
Em                    G
Tusing ada bekas manyama"
133,Lolot,Lolot Boya Ja Amerika,"[INTRO]
Em D C D
Em D C D
Em D C D
Em D C Bm

       Em
Hey nyen ditu di bucu
          Em
Mua barak ngamah arak
                  Am
Gendang gending megitaran
          Bm            D        Em
Serasa tusing ade ne kenehang

            Em
Rame-rame ye mekumpul ditu
          Em
Guak-guek kanti kesemengan
          Am
Tusing pati ngitungang pisage
            Bm                     D       Em    D-Em
Inguh ngenehang bareng megadang

[REFF]
C                G
Elingang ragene
              D
Boya je iraga
                   Em
Idup di Amerika

C                 G
Adat budayane
                          D
Yening nenten irage
                   Bm
Sire sane nerusang
              C            D       Em
Mangde ajeg tur kelestariang

[INTERLUDE]
Em D C D
Em D C Bm

        Em
Anak tue nyen ne tusing sakit
              Em
Ngelah pianak ane sanget sayangang
              Am
Kadong  selip sube pergaulane
              Bm             D       Em
Sebilang  wai pragat memunyah

              Em
Tusing pelihang mule jamane
                Em
Nanging ingetang masih budayane
           Am
Budaya uli leluhur irage
                 Bm          D         Em   D-Em
Mangde kelestariang kewekasan

[REFF]
C                 G
Elingang ragene
               D
Boya je iraga
                  Em
Idup di Amerika

C                 G
Adat budayane
                         D
Yening nenten irage
                   Bm
Sire sane nerusang
              C            D      Em
Mangde ajeg tur kelestariang

[MELODI]
Em D C D
Em D C D
Em D C D
Em D C Bm

[REFF]
C                 G
Elingang ragene
               D
Boya je iraga
                  Em
Idup di Amerika

C                G
Adat budayane
                        D
Yening nenten irage
                    Bm
Sire sane nerusang

[REFF]
C                 G
Elingang ragene
               D
Boya je iraga
                  Em
Idup di Amerika

C                G
Adat budayane
                         D
Yening nenten irage
                     Bm
Sire sane nerusang
              C            D      Em
Mangde ajeg tur kelestariang

[OUTRO]
Em D C D
Em D C D
Em D C D
Em D C D
Em "
136,Lolot,Lolot De Bes Ruwet,"[INTRO]
Em D C D (4x)

               Em D C D
Yening sakit basang
        Em D C D
Meju malu
              Em D C D
Yen basange layah
         Em D C D
Ngamah malu

             Em D C D
Yen matane kiap
        Em  D C D
Pules malu
             Em D C D
Yen merasa kenyel
          Em D C D
Mereren malu...yee...

[REFF]
Em        D        C          D
De bes ruwet iraga nyalanan hidupe jani
Em   D         C     D
Amongken ye ada, amonto ye kanggoang
Em        D        C           D
De bes ruwet iraga ngenehang hidupe jani
Em    D        C    D
Amongken ye ada, amonto ye kanggoang

[INTERLUDE]
Em D C D (2x)

                 Em D C D
Yen sing ngelah pipis
        Em D C D
Megae malu
           Em D C D
Yen otake stres
         Em D C D
Ngibur malu

            Em D C D
Ane demen punyah
       Em D C D
Arak malu
           Em D C D
Disubane punyah
         Em D C D
Ngutah malu...yee...

[REFF]
Em        D        C          D
De bes ruwet iraga nyalanan hidupe jani
Em   D         C     D
Amongken ye ada, amonto ye kanggoang
Em        D        C           D
De bes ruwet iraga ngenehang hidupe jani
Em    D        C    D
Amongken ye ada, amonto ye kanggoang

[INTERLUDE]
Em D C D (4x)
(Amongken je ade amonto ye kanggoang
De bes maksa raga stres nyanan
Struk nyanan, setra nyanan haha...)

[MELODI]
Em D C D (6x)

               Em D C D
Yening sakit basang
        Em D C D
Meju malu
              Em D C D
Yen basange layah
         Em D C D
Ngamah malu

             Em D C D
Yen matane kiap
        Em  D C D
Pules malu
             Em D C D
Yen merasa kenyel
          Em D C D
Mereren malu...yee...

[REFF]
Em        D        C          D
De bes ruwet iraga nyalanan hidupe jani
Em   D         C     D
Amongken ye ada, amonto ye kanggoang
Em        D        C           D
De bes ruwet iraga ngenehang hidupe jani
Em    D        C    D
Amongken ye ada, amonto ye kanggoang

Em        D        C           D
De bes ruwet iraga ngenehang hidupe jani
Em    D        C    D
Amongken ye ada, amonto ye kanggoang
Em        D        C          D
De bes ruwet iraga nyalanan hidupe jani
Em   D         C     D
Amongken ye ada, amonto ye kanggoang

Em D C D
    Amonto ye kanggoang
Em D C D
    Amonto ye kanggoang
Em D C D
    Amonto ye kanggoang
Em D C D          Em
    Kanggoang amonto"
149,Lolot,Lolot Boya Kedasarin Tresna,"[INTRO]
Em D Bm C (4x)

Em       D         Bm   C
Ne mare jani beli nawang
Em              D             Bm C
Tresnan adine boya kapining beli
Em       D         Bm   C
Ne mare jani beli nawang
Em             D             Bm C
Sayang adine boya kapining beli

[INTERLUDE]
Em D Bm C (2x)

Em       D         Bm   C
Ne mare jani beli nawang
Em          D             Bm C
Suwe sampun adi mogbogin beli
Em            D           Bm C
Ngajak mantan tunangane pidan
         Em       D          Bm  C
Nyambung tresnane tur ngalahin beli

[REFF]
G                D
To ngudyang iraga masakapan
       Em                  C
Kewala tresnan adi boya ngajak beli
G                D
To ngudyang iraga mabesikan
       Em                  C
Kewala keneh adi palas ngajak beli

G                 D
To ngudyang ipidan matunangan
       Em                 C
Kewala sayang adi boya ngajak beli

G                 D
To ngudyang adi nerima beli
       Em
Kewala satyan adi
          C        D               Em
Nu ngajak mantan tunangan adine pidan

[INTERLUDE]
Em D Bm C (2x)

[MELODI]
Em D (4x)
C Em (2X)
C D

[REFF]
G                D
To ngudyang iraga masakapan
       Em                  C
Kewala tresnan adi boya ngajak beli
G                D
To ngudyang iraga mabesikan
       Em                  C
Kewala keneh adi palas ngajak beli

G                 D
To ngudyang ipidan matunangan
       Em                 C
Kewala sayang adi boya ngajak beli

G                 D
To ngudyang adi nerima beli
       Em
Kewala satyan adi
          C        D               Em
Nu ngajak mantan tunangan adine pidan

[INTERLUDE]
Em D Bm C (2x)

Em       D         Bm   C
Ne mare jani beli nawang
Em          D             Bm C
Suwe sampun adi mogbogin beli

Em       D         Bm   C
Ne mare jani beli nawang
     Em         D
Dewek beline tan bina ya
Bm         C           Em
Wantah pecadang kuang adi"
188,4WD,4WD Sing Ngidang Luh,"[INTRO]
Em C G G/F#

Em             C
Beli mule demen minum Iluh
G                      G/F#
Punyah ngutah beli suba biasa
Em            C
De je Iluh buin nyeselang
G                  G/F#
Ane penting beli mulih

[INTERLUDE]
Em C G G/F#
Em C G G/F#


Em             C
Saje pelih beli melaksana
G           G/F#
Tusing satya teken tresna
Em             C
Jani beli ngaku pelih luh
G                   G/F#        Em  C G G/F#
Ampurayang luh ampurayang luh

[REFF]
Em         C
Tusing ngidang luh
G           G/F#
Beli mejalan tanpa iluh
Em        C            G          G/F#
Keneh benyah luh tusing biasa

Em         C
Tusing ngidang luh
G            G/F#       Em
Beli mejalan tanpa iluh
             C        G         G/F#
Keneh sepi luh serasa mati

[INTERLUDE]
Em C G G/F#
Em C G G/F#

Em                   C
Tusing ngidang beli ngengsapang
G                G/F#
Sekancan kisah sekancan rasa
Em             C
Wireh beli dini nu tresna
G                  G/F#       Em  C G G/F#
Beli rindu luh, beli rindu luh

[REFF]
Em           C
Tusing ngidang luh
G            G/F#
Beli mejalan tanpa iluh
Em        C            G          G/F#
Keneh benyah luh tusing biasa

Em         C
Tusing ngidang luh
G            G/F#      Em
Beli mejalan tanpa iluh
            C         G          G/F#
Keneh sepi luh serasa mati

[REFF]
Em         C
Tusing ngidang luh
G            G/F#
Beli mejalan tanpa iluh
Em         C           G          G/F#
Keneh benyah luh tusing biasa

Em         C
Tusing ngidang luh
G           G/F#       Em
Beli mejalan tanpa iluh
            C         G          G/F#
Keneh sepi luh serasa mati
Em C G G/F#   Em C G G/F#
Oo... Hoo...

[OUTRO]
Em C G G/F#
Em C G"
172,Broken Radio,Broken Radio Sederhana,"[INTRO]
Em C D G
Em C G

Em  D           G
Ada ne tuturang beli
Em   D                  G
Rasa ne sesai kenehang beli
Em        D           G
Nanging harus state bahagia
           Am            D
Beli berusaha demi adi dini

Em    D               G
Ampurayang beli sing ngidang
Em       D         G
Berikan adi mimpi indah
Em        D            G
Nanging beli tetep berjuang
            Am            D
Lakukan semua demi cinta kita

[REFF] (2x)
                C        G
Kanggoang je malu iraga kene
                C        G
Kanggoang je malu iraga kene
            C                 Em
Idup sederhana sing ada tuntutan
               D
Yang penting bagia

[INTERLUDE]
Em D G (2x)
Huu...uuu...
Huu...uuu...

Em    D              G
Ampurayang beli sing ngidang
Em     D          G
Berikan adi mimpi indah

Em         D          G
Nanging beli tetep berjuang
            Am
Lakukan semua demi cinta
      C                    D
Ku korbankan semua demi cinta

[INTERLUDE]
C G C G D
C G Am D

[REFF]
                C        G
Kanggoang je malu iraga kene
                C        G
Kanggoang je malu iraga kene
            C                 Em
Idup sederhana sing ada tuntutan
               D
Yang penting bagia aaa...

[REFF]
                C        G
Kanggoang je malu iraga kene
                C        G
Kanggoang je malu iraga kene
            C                 Em
Idup sederhana sing ada tuntutan
               D                   G
Yang penting bagia, yang penting bagia"
123,Lolot,Lolot Kalain Nyama,"[INTRO]
Em C D (4x)
Em

Em     C      D     Em
Kerasa nenten percaya beli
C      D   Em          C
Nyingakin adi ring pesarean
D       Em    C D
Merurub kuning

Em    C   D       Em
Kerasa sesek tangkah beli
C D      Em
Dados sapuniki
C    D   Em  C D Em C D
Pejalan adine

[REFF]
Em    D
Hoo...ooo...
     C             Am    Bm     Em
Ngalain meme bape ne ke tanah wayah
Em    D
Hoo...ooo...
      C                Am    Bm    Em
Minab sampun titah kawi sane kesurat

[INTERLUDE]
Em C D (2x)

Em
Beli merasa
C   D     Em
Tekening dewek pelih
C   D    Em
Ten pati rungu
C      D     Em C D
Ring ragan adine

Em               C
Nanging wantah sujati
  D      Em
Rase tresnan beli
C D     Em
Setegeh langit
C     D    Em   C D Em C D
Marep ring adine

[REFF]
Em    D
Hoo...ooo...
     C            Am          Bm       Em
Sedina beli ngrestiti ring Ida Hyang Widhi
Em    D
Hoo...ooo...
    C                  Am   Bm Em
Adi ngemolihang genah sane rahayu

Em    D         C                  Am
Hoo...ooo...sampunang malih meme bape
        Bm      Em
Sungut ring kayun
Em    D
Hoo...ooo...
      C             Am  Bm    Em
Minab puniki wantah gegodan idup

Mangda iraga ngrumaketang tresnane

[INTERLUDE]
Em F#m G (4x)

[MELODI]
Em C D (5x)

[REFF] (2x)
Em    D
Hoo...ooo...
      C                 Am    Bm    Em
Ten sida beli nanggehang sebet di keneh
Em    D
Hoo...ooo...
      C              Am     Bm   Em
Yen inget ragan adine kangen kerasa

[OUTRO]
Em C D (4x)
Em"
143,Aditya Kameshwara,Aditya Kameshwara Tresna Memaksa,"[INTRO]
E G#m C#m A (4x)

E        B         C#m       B
Pocol beli pertahankan rasa ini
     A                B         E
Uling simalu tresnane suba memaksa
E        B      C#m        B
Kaden beli adi tresna sujati
        A                B         E
Nanging ne jani makejang tuah di hati

[REFF]
     E        B        C#m       B
Mendingan ne jani beli naanang sakit
          A        B             E       B
Diastun sujatine hatine sing ngidang..ooo..
     E          B          C#m        B
Ketimbang buin mani tresna kadung mejalan
      A           B           E
Adi ngeraseyang sakitne di hati

[INTERLUDE]
E B C#m A (2x)

E       B          C#m          B
Rasa tresna mula sueca Hyang Widhi
             A            B            E
Nanging sing mearti yen rerama sing setuju

[MELODI]
A G#m C#m B A
A G#m C#m A B

E          B              C#m       B
Sampunang adi nyeselang unduk tresnane
      A              B           E
Hatin beline wantah adi ne ngisinin

[REFF] (2x)
     E        B        C#m       B
Mendingan ne jani beli naanang sakit
          A        B            E  B
Diastun sujatine hatine sing ngidang
     E          B          C#m        B
Ketimbang buin mani tresna kadung mejalan
      A           B           E
Adi ngeraseyang sakitne di hati

      A           B          C#m
Adi ngeraseyang sakitne di hati
      A           B          E A E A
Adi ngeraseyang sakitne di hati"
