,artiss,juduls,chords
33,"
Ary Kencana - Baper
","
Ary Kencana - Baper
","








luh hatin beli

dauh goa lawah

tuah anggon iluh

pesinggahan*IntroC  G  Am  F  C  G F 2x        C                  G             Am  EmBeli kenal ngajak ragan adine,        F                           Dm            G       Yen itung-itung konden liwat a bulan             C            G            Am   EmNguda aluh gati iraga jadian            F                  G                  C     G Am FBawak satuane jani raga metunangan           C                G                  Am  EmTernyata adi suba ngelah tunangan               F                          Dm                       GNanging tunangan adi joh ngoyong di rantauan        C                    G                         Am  EmBeli tuah anggon adi ngisi kekosongan       F        G                      CDisaat adi butuh kehangatan     F            G               Em         AmBeli dini main api kebawa perasaan    F                               GBeli sakit, beli patah hati**ReffC          G        Am       Em        F          Luh hatin beli, dauh goa lawah                Em        Dm        GTuah anggon iluh pesinggahanC           G            Am         Em         F               Luh tresnan luh e, kapin dewek beli                  Em       Dm G C     mlaib ling penjara pelarian              F                 G                              Em                    AmBeli skadi bintang film, nanging boya pemeran utama    F                      G                     CBeli tuah dadi pemeran pengganti***InterludeC  G  Am   F  4x   G           C                G                  Am  EmTernyata adi suba ngelah tunangan               F                          Dm                       GNanging tunangan adi joh ngoyong di rantauan        C                    G                         Am  EmBeli tuah anggon adi ngisi kekosongan       F        G                      CDisaat adi butuh kehangatan     F            G               Em         AmBeli dini main api kebawa perasaan    F                               GBeli sakit, beli patah hati**ReffC          G        Am       Em        F          Luh hatin beli, dauh goa lawah                Em       Dm          GTuah anggon iluh pesinggahanC           G            Am         Em         F             Luh tresnan luh e, kapin dewek beli                  Em       Dm G C   mlaib ling penjara pelarianC          G        Am       Em        F          Luh hatin beli, dauh goa lawah                Em       Dm          GTuah anggon iluh pesinggahanC           G            Am         Em         F           Luh tresnan luh e, kapin dewek beli                  Em       Dm G C mlaib ling penjara pelarian            F                 G                              Em                    AmBeli skadi bintang film, nanging boya pemeran utama    F                      G                     CBeli tuah dadi pemeran penggantiC  G  Am  F  C





sumber : http://sob-tutorial.blogspot.co.id




































"
34,"
Motifora - Sukla
","
Motifora - Sukla
","





A          E           F#m                   E              D
tusing ada buin sedih tusing ada buin pedih
   E         A        E
ulian sakit hati
A           E          F#m                     E         D
hadiradi ngaenang hidep beline terang
  E          A             E
uli peteng jalan beli


D            E           C#m            F#m
sekadi malaikat adi nampekin beli
D          E                              C#m             F#m
sing mekampidnanging ngaenang bli melayang
D                                   E
dingehang aen jani syukur beli
A                  E             F#m
suksma suba nresnain beli
        E                    D
suba nyayangin beli
E                   A             C#
tur nerima kekurangan beli
A                 E                F#m
astungkara iraga langgeng
           E                  D
astungkara iraga bagia
E               A                         C#   
beli mejanji dini lan mesimpuh



D                                     E
tetep ja adi dadi petunjuk
             C#m                F#m
saat raga nyalanin hidup
E                               D
tetep adi dadi bintang
                  E
manyunarin rikala peteng
A         A/G#                   F#m
arah tujuan langkah beli
E                  D              E
tetep ja adi di sisin beli
D            E           C#m            F#m
sekadi malaikat adi nampekin beli
D          E                              C#m             F#m
sing mekampidnanging ngaenang bli melayang
D                                   E
dingehang aen jani syukur beli
A                  E             F#m
suksma suba nresnain beli
        E                    D
suba nyayangin beli
E                   A             C#
tur nerima kekurangan beli
A                 E                F#m
astungkara iraga langgeng
           E                  D
astungkara iraga bagia
E               A                         C#   
beli mejanji dini lan mesimpuh


A                  E             F#m
suksma nresnain beli
        E                    D
suba nyayangin beli
E                   A             C#
tur nerima kekurangan beli
A                 E                F#m
astungkara iraga langgeng
           E                  D
astungkara iraga bagia
E               A                         C#   
beli mejanji dini lan mesimpuh




































"
35,"
Myfriends Band - Bajang Truna
","
Myfriends Band - Bajang Truna
","








Dm.        A.             E.                 ASuba biasa menek bajang trunaDm.        A.             E.                      AMekejang pasti taen ngerasayang jatuh tresnaDm.           A.            E.                AApa buin di jaman teknologi janiDm.            A.            E.                ABebas dalam pergaulan apa buin metunangan

Dm.             A.                 E.                   ASaja mula saja tresna ngae mebungaDm.             A.            E.          AGumi kerasa gelah jak daduaDm.                   ASing ngitung mani puan    E.                        ASing mikir masa depanDm.                    A.                          ESing ngerambang bebedag poleng               APayu mecik pelengan

Reff:Dm.      E.           AAda gender ada sulingDm.      E.           APreginane jagi mesolahDm.        E.              AAdeng- adeng ngae belingDm.        E.              ASelegang ja malu melajah

Dm.        E.              ATanggeh- tanggehang ja kitaneDm.        E.              AMakejang suba ada waktuneDm.        E.              APikir- pikir ja masa depaneDm.        E.              AMani puan pang sing meselselan

Dm.        E.              ASaja mula saja tresna ngae mebungaDm.        E.              AGumi kerasa gelah jak daduaDm.        E.              ASing ngitung mani puanDm.        E.              ASing mikir masa depanDm.                         E.                             Sing ngerambang bebedag poleng             APayu mecik pelengan

Reff:Dm.        E.              AAda gender ada sulingDm.        E.              APreginane jagi mesolahDm.        E.              AAdeng- adeng ja ngae belingDm.        E.              ASelegang ja malu melajah

Tanggeh- tanggehang ja kitaneDm.        E.              AMekejang suba ada waktuneDm.        E.              APikir- pikir ja masa depaneDm.        E.              AMani puan pang sing meselselan

Reff:Dm.        E.              AAda gender ada sulingDm.        E.              APreginane jagi mesolahDm.        E.              AAdeng- adeng ja ngae belingDm.        E.              ASelegang ja malu melajah

Dm.        E.              ASelegang ja malu melajahDm.        E.              ASelegang ja malu melajah




































"
36,"
Ordinary - Sebet
","
Ordinary - Sebet
","





Intro : E   B   C#   G#   A   E   F#  B

E                        B
tusing kerasa galah sube mejalan
C#                           G#
limang tiban iraga metunangan
A                                       E
sakit hatin beli jani adi ngalain beli
F#                                B
tuah adi ne setata ada di hati
E         B         C#                       G#
i piddan adi mejanji ngajak beli
          A                         E
lakar satya sehidup se mati
F#                    B
ngajak ragan beli
E         B         C#                       G#
i piddan adi mejanji ngajak beli
A                                           E
setate nyarengin ragan beli dini
F#            B
sebilang wai
         A                       E
ane kerasayang beli
A                        E
sakit hatin beli jani
F#
belah tangkah beli
        B
jani adi ngalain beli



Reff:
E                          B
sebet-sebet keneh beline sebet
C#                                     G#
belah-belah tangkah beline belah
  A              E
nejani adi ngalain beli
F#                                                         B
ngajak nak muani ani luwungan ken beli 2x




































"
37,"
Masekepung - Tuak Adalah Nyawa
","
Masekepung - Tuak Adalah Nyawa
","





Intro : Em (4x) Hoyy
        
Magenjekan
Em, Am, D, C, D, Em (2x)

Em                        Am 
Bangun semengan titiang kepupungan
D                                C       D    Em
Mirip dugas dibi ade ane kuangan
Em                            Am
Ngangin ngauhang batise mejalan
    D                        C           D       Em
lima,e guyutan sirah,e nyut -enyutan

Em, Am, D, C, D, Em (2x)
Magenjekan

Em                         Am
Angseh angsehang titiang mejalan
       D                                C   D              Em
Neked ye di pondok ditu kumpul jak timpal
Em                       Am
Mesuryak galang bayun titiange
     D                              C   D            Em
Mare maan cepok liang manah titiange

Reff :

Em                    Am
Tuak, tuak tuak tuak
D                       Em
Tuak adalah nyawa
Em                                Am
yening a wai sing maan tuak
    D                          Em
idupe serasa ade kuangan

Magenjekan
Em, Am, D, C, D, Em (2x)

Em                           Em                   Em              D
Liu nak ngorang demen minum demen ngae rusuh
D                                       D              Em
Buktine jani iraga tusing taen memisuh
Em                                       Em               D
Dini iraga ngibur sambilan ye ngalih peluh
D                                       D                  Em
De je bes ruet apang ye iraga lantang tuuh

Reff :

Em                    Am
Tuak, tuak tuak tuak
D                       Em
Tuak adalah nyawa
Em                                Am
yening a wai sing maan tuak
    D                          Em
idupe serasa ade kuangan

Magenjekan


Em, Am, D, C, D, Em (2x)




































"
38,"
4WD - Jangan Lupakan Aku
","
4WD - Jangan Lupakan Aku
","





Intro/   
: G  C  G  C

G                   
Em                     
C          G-D
Semakin dekat kau
meninggalkanku
G    
               Em      
         C           D 
Semakin takut ku
kehilanganmu
G    
              Em        
       C           G-D 
Semakin jauh kau
pergi dariku
G    
                Em      
          C        D 
S'makin gelisah tak
ingin berpisah


Reff :

           
C               
G
Tanpa gemerlap
bintang
   
             Em        
  D 
Yang s'lalu terangi
malam
   
            C          
   G            D 
Bulan pun hanya
bungkam, terdiam
   
         C 
Rasa rindu di hati
   
               D 
Sayang dan cinta ini
   
            E          
                     
  D 
Takkan terhapus
waktu, hanya untukmu
   
          C 
Jangan lupakan aku
   
             D 
Kenanglah cinta ini
   
        E              
              D 
Saat indah bersama,
tuk selamanya


/Intro/ : G 
C  Em  D  (2x)
         
C  D  C  D


G                   
Em            
C           G-D
Terasa hampa sepi
ku sendiri
G                    
Em               
C        D
Tak ada canda dan
tawamu lagi
G    
                 Em    
         C        G-D 
Semakin jauh kau
pergi dariku
G    
                Em      
         C        D 
S'makin gelisah tak
ingin berpisah

Back to Reff:




































"
39,"
Chord Jun Bintang ft Tika - Sakit
","
Chord Jun Bintang ft Tika - Sakit
","







Intro :   G   Em   C    D   2x


G
Dugas tiang ketemu beli
Em
Suba ada rasa di hati
C                                     D
Beli mekenyem manis ken tiang

G
Nanging sebet bayun tiang
Em
Sukate tiang nawang
C                                       D
Beli sampun ngelah tunangan

C       G         Em                         D
Sakit, sedih, nerasayang tiang jani beli

Reff:
           G                           Em
Nguda mara iraga mekenalan
                        C
Yen dadi jumunin
                         D
Tiang berharap beli jodoh tiange
C
Sesai bakat ipiang
G
Sesai bakat kenehang
C                             D
Tiang jani inguh pedidi

G
Dugas beli ketemu adi
Em
Suba ada rasa di hati
C                                        D
Adi mekenyem manis ken beli
G
Nanging sebet bayun beli
Em
Sukate beli nawang
C                                       D
Adi sampun ngelah tunangan
 C       G         Em                         D
Sakit, sedih, nerasayang beli jani adi

Reff:
           G                           Em
Nguda mara iraga mekenalan
                      C
Yen dadi jumunin
                      D
Beli berharap adi jodoh beline
           G                            Em
Nguda mara iraga mekenalan
                       C
Yen dadi jumunin
                       D
Tiang berharap beli jodoh tiange
 C
Sesai bakat ipiang
 G
Sesai bakat kenehang
 C                           D
 Beli jani inguh pedidi
C                            D
Tiang jani inguh pedidi
C                             D
Tiang jani inguh pedidi






































"
40,"
Chord Gitar Ary Kencana - Mecebur
","
Chord Gitar Ary Kencana - Mecebur
","





G                                   Em
Rikala hati tumben ngerasayang cinta
C                        G
lege liang di hatine
Bm          C                     G
sebet manis pait kerasayang
Bm      C                          D
rasa tulus tersnane pertama,

G                                            Em
Ngancan leket sayange ane rasayang
C                          G
cara anak mekurenan
Bm         C                   G
ulian rage mebeda kasta
Bm    C                    D                   G
ajin adi takut nyingakin  adi mecebur

Bm              C
beli sing menyet
Bm                       C
kal pegatin tresnane
Bm                        C
ngetelang yeh mata
C                                   D
ulian iraga nu pada tresna

                G                           Em
Hyang widhi asiki pinunas titiang
            C
yen mule ten jodoh titiang
     C                              G     D
icalang saking hati puniki  oooooooo
                G                           Em
Hyang widhi asiki pinunas titiang
     C
icalang kenangan manise
            C             D                G
sane ngawinan titiang prustasi

sumber : http://bagionxguitar.blogspot.co.id/2015/10/chord-gitar-ary-kencana-mecebur-g.html 




































"
41,"
Lolot - Beda Tipis
","
Lolot - Beda Tipis
","








Intro : C G Am E F C G




C                     G

Liu anak ngorahang

  Am                    E

Tiang buduh buduhan

 F                            C

Ulian liu ne sing nawang

                             G

Tiang ngelah jiwa seniman



C                   G

Liu anak ngorahang

Am                   E

Tiang inguh inguhan

F                            C

Ulian liu ne sing nawang

                                 G

Tiang ngelah jiwa seniman



Reff



A

Beda tipis

E                                 F

Anak buduh teken seniman

   G

(buduh buduhan)



A

Beda tipis

E                                F

Anak sinting teken seniman

    G

(sinting sintingan)



C                  G

Liu anak ngorahang

Am                 E

Tiang uring uringan

F                            C

Ulian liu ne sing nawang

                              G

Tiang ngelah jiwa seniman



C                  G

Liu anak ngorahang

Am                    Em

Tiang sinting sintingan

F                         C

Ulian liu ne sing nawang

                                 G

Tiang ngelah jiwa seniman



Kembali Ke Reff



Melodi : C G Am E F C G



sumber : http://addinfobaru.blogspot.com/2016/04/chord-lolot-beda-tipis.html




































"
42,"
Nanoe Biroe - Berita Buruk
","
Nanoe Biroe - Berita Buruk
","





Intro : C     Em     Am     G       2xC                   G           Am           EmAdi ngorang Adi jumah dugas ibi petengF          Em              GNgae PR MatematikaC                   G           Am               EmAdi ngorang Adi jumah dugas puan PetengF                      Em                      GNguwopin Meme metanding canang*C  G       Am  EmBeli percaya…     F                     G              C       G  Nanging timpal-timpal beline ngorangC    G          Am    EmAdi ngelah mitra…F                   G                     C    GIbi lan puan memesraan di Kama SutraReff:C G  Am               EmPanas… kuping belineF          G               C      GNingehin berita buruk entoC   G   Am               EmSakit…     Hatin belineF                          G             C        GDadi hati Adi melaksana keto

Melodi:

Am F 3x



sumber : http://addinfobaru.blogspot.com/2014/12/kunci-gitar-nanoe-biroe-berita-buruk.html




































"
43,"
Ray Peni - Takut Jak Bojog (Bojog Medasi)
","
Ray Peni - Takut Jak Bojog (Bojog Medasi)
","










Intro : D A G A  (4x)



D            A

Tusing merasa

G                    A             D

Abulan suba iraga metunangan

           A         G

Rasa sayang beli

                  A

Kapining adi

 D              A        G

Ne jani raseyang beli

A                       D

Ngansang ngedenang



Intro :  D A G A



D            A

Tusing medaya

G                      A

Tiang ngelah tunangan

            D

Jegeg gati



             A

Pipi sujenan

G                       A

Manis kenyem adine

D               A

Ngaenang sirah

G           A           D         A  G A

Beline uyeng uyengan



Reff :

D             A

Skancan rasa

    G                   A                   D

Ne raseyang beli jani lakar tuturang

  A                G                   A

Pirengang tembang beli puniki

G                       A

Mencintai adi liu ane

             D       A

Takutin beli



D                     A

Pertama beli takut

G                     A               D

Adi hianati cinta kita ke dua

         A          G           A

Beli takut cinta kita di ganggu

                D

Orang ketiga

A              G

Beli takut adi

  A              D

Plaibang bojog

             A                G

Bojog sugih, bojog nakal

            A                                 D

Bojog terkenal, bojong ngabe pelet

           A                  G

Ane paling takutin beli

A            D

Bojog medasi



              A            G

Dumadak je adi satya

   A                         D

Pertahankan cinta kita

            A                  G

Jangan sampai kita bubaran

     A                     D

Gara gara uyak bojog



D A G A ( 4 x)

Yeeehee



Melodi : D A G A ( 2x)



Kembali ke Reff



sumber :: http://addinfobaru.blogspot.com/




































"
44,"
Motifora - Dua Hati Kord Gitar
","
Motifora - Dua Hati Kord Gitar
","








Intro : F C F Am G F C
*
G D
Ku merasakan sesuatu yang tak ingin kurasakan

Em Bm
Dan ku harus mampu melepaskan
C
Semua perih yang kau berikan
G G/F# Em C
Tak mengerti hingg kini kau hianati dengan dirinya..
**
G D
Aku sadari kutak mampu seperti yang kau mau
Em Bm
Ku hanya manusia yang
C
Penuh keterbatasan hidup ku
G G/F# Em C
Dan kurasa itu bukan suatu alasan kau bagi cintamu
Chourus :
G Em
Tlah kau hancurkan,, tlah kau hempaskan,,
C Cm D
Hati yang slalu mencinta, hati yang slalu merindukan dirimu..
Reff :
G D Em
Mungkin hanya air mataku yang mampu mengerti
C D G
Betapa derasnya sakit ini tlah kau hianati
D Em
Dan mungkin juga langkah kaki ku yang mampu pahami
C D G
Betapa hebatnya perih ini kau tlah main hati
Melodi :
G D Em C D 2x
Reff :
G D Em
Mungkin hanya air mataku yang mampu mengerti
C D G
Betapa derasnya sakit ini tlah kau hianati
D Em
Dan mungkin juga langkah kaki ku yang mampu pahami
C D A
Betapa hebatnya perih ini kau tlah main hati
E F#m
Mungkin hanya air mataku yang mampu mengerti
D E A
Betapa derasnya sakit ini tlah kau hianati
E F#m
Dan mungkin juga langkah kaki ku yang mampu pahami
D E A
Betapa hebatnya perih ini kau tlah main hati
A E F#m
Mungkin hanya air mata ku yang mampu mengerti




































"
45,"
Ary Kencana - Meli Disisi
","
Ary Kencana - Meli Disisi
","








Intro : D A Bm F#m G A D



D          A               Bm      F#m

Rasa Bangga Di Kenehe

    G           A         D

Megae di kapal pesiar

  Em                   Bm

Ngalih sekaya lebihan

                                 G

Banding kin dugase pidan

       Em

Dadi kuli

                     G

Gegaene serabutan

                     A                    D                A

Gajih t’lah anggon mayah kontrakan



D            A        Bm       F#m

Nguber sekaya lebihan

G               A                D

Ngemasin tresna dadi korban

Em                  Bm                              G

Kadi anake ngorahang bedak iluhe di bali

              Em                                 G

Kudiang beli ngabaang yeh ling luar negri

             A             D

Sinah iluh kal meli disisi



*

Em                          A

Lewat Skype rage ngorte

 D                   A          Bm

“Sayang aku rindu jak kamu”

Em                           A      

Nanging tanpa sadar adi

                          Bm

Rage sedeng WebCam-an

                          D

Ade anak muani teke

                                    G

Laut Ngelut bangkiang adi

                                         A

Dong kene dogen di durin beli



Reff

D         A          Bm              F#m  

Di Telfone bibih adi ngorang sayang

                  G      D    Em                  G          A

Nanging ukudan adi megelut ngajak muani elenan

D      A            Bm             F#m

Di Telfone bibih adi ngorang rindu

                  G      D       Em                  G         A

Nanging sujatine adi mecumbu ngajak muani elenan

Em                                        Bm

Kudiang jani adi buin lakar mekelid

              G      A                D

Matan beli pedidi ne nyaksiang



Melodi

D A Bm F#m G A D



Kembali ke *



sumber http://addinfobaru.blogspot.co.id/2015/03/lirik-dan-kunci-gitar-ary-kencana-meli.html




































"
46,"
Ary Kencana - Biro Jodoh
","
Ary Kencana - Biro Jodoh
","








C              G       Am

Rikala bengong pedidian

C                     G                      F

Ngenehang deweke sing ngelah tunangan

C                      G

Yen kenken kaden rasa ne


             Am

Negak ngeroman pedaduanan





F

Ngapel malam minggu

Em

Enteg sebeng dadi calon mantu

F

Tunangan ne paling jegeg

                   G                                  C

Sebilang saihan ngajak tunangan timpal



*

C                  G                Am

Boya nyen tiang bes memilih

C              G                       F

Nanging mula sing ada ane ngenyakin

C                                     G

Sekancan anak Luh ne lemesin

Am

Ngaku suba ngelah tunangan

F                                       Em

Nguda dadi tiang rasan cara sing maan eduman

F                                        G

Yen tolih anak len ada ngelah tunangan

C

Kanti dadua….





C                       G

Yening suluhin tiang

Am

Sing je jelek pesan

Em

Sing je bocok sajan

F                               G

Goban tiange bani mesaih



Reff:



 

C                                 G

Apa perlu tiang ke biro jodoh

Am                              Em

Ngalih ane enyak anggon kurenan

C                               G

Meme bapa suba ngentenin

F                                      G

Umur tiange ngancan ngewayahang



C                         G                     Am        Em

Oooo….oooohh nguda keweh ngalih tunangan

C                        G               F               G

Ooooo ooooo nguda tiang sing maan eduman



Kembali ke *






































"
47,"
Ary Kencana - Putih Bagus
","
Ary Kencana - Putih Bagus
","








C                                          EmNuwunin pangkung menek jurang nglebak tukadF                           G

Keto pidan tiang jalaninAm                                         Em

Makelo be tiang ten ngelah keturunanF                                     G

Ideh-ideh tiang ngaba daksinaF                      G              C

Nunas baos nedunang kawitan

**

C                                      EmSekancan arta brana kadi rasa sing megunaF                                                       G

Yen kenehang toh mase sing ngelah pianakAm                                Em

Ulian sabar titiang astiti bakti ring widhiF                                        G

Suweca ida mangkin ngamicayangF                G             C

Pianake lekad sada muaniReff:                 F           G                 C

Dong tolih je iluh pianake putih bagus               Am                                   Em

Putih ne cara memene bagusne kone bapane F                    G              C

Bibih tipisne mirip ken pekakne         Am                                               Em

Kadirasa ya lebihan suwecan widhi ne ketrima               F                 G         C

Teken pengaptine dugase ipidan         C                                                Em

Duh hyang prama kawi prama sukseman titiangF                                 G                               C

Prasida metu suputra kelih ya dados jatma meguna

Kembali Ke **

Kembali Ke Reff




































"
48,"
Ray Peni - Janji Tinggal Janji
","
Ray Peni - Janji Tinggal Janji
","








G       C         G

Janji Tinggal Janji

 G             C          G

Nanging Tuare Mebukti

 G       C       G

Tega tegane Adi

 G           C      G

Duakan Cinta Beli



*

 Bm             C

Sakit Hati Beli

 G                                D

Di Depan Mata Asyik asyik

            G        C   G         

Adi Selingkuh

  G            C        G

Ngajak Timpal Beline

 G           C        G

Panes Tangkah Beline

 G                  C     G

Buke Entegin Arak Api

 G          C          G

Jeg Mekeplug Polone

 G                   C         G

Kadenang Jani Sube Mati



 G              C

Ahh Sing Bani Puk...

 G            C

Ahh Berdosa Puk..

 G                     C                            G

Ahh Fikir-fikir Sing Kuangan Nak Eluh Asane



Reff

 Bm            C

Sakit saje Sakit

         D

Nanging Beli Nu Tetep Tegar

                         G    C   G

Beli Laki-laki Sejati

   G           C     G

Pantang Patah Hati

 G             C              G

Ape buin kar Bunuh Diri

  G                   C         G

Ulian Cewek Sekelas Adi



**

 Bm            C

Sakit Saje Sakit

         D

Nanging Beli nu teteo tegar

                              G    C    G

Daripada Setres Pedidi

    G            C         G

Luungan jani melali lali

   G                  C      G

Mebalih konser lagu bali

   G                                C      G

Nyen nawang ade tepuk Ray Peni



Kembali Ke **






































"
49,"
4WD - Ngopi Malu John
","
4WD - Ngopi Malu John
","








               Em

Hidup santai Jon

     G                D                    Em

De bes berat mikir ne ruet Jon

               G                D                     Em

Depang hidup mejalan care roda Jon

                  G               D           Em

Nyen nawang buin pidan Duuran



Interlude :

Em G D 2 x



             Em

Hidup santai Jon

          G              D                Em

Hidup santai umur panjang Jon

           G               D                     Em

Ne penting luung ban menyama Jon

          G                 D            Em

Menyama lan luung metimpal



Reff:

                 Em

Ngopi malu Jon

        G            D         Em

Negak sambil maca koran

               G                D                  Em

Kanggoang tagok malu care bangsawan

        G                D                   Em

Kanggoang malu wantah di ipian..



                 Em

Ngopi malu Jon

        G            D         Em

Negak sambil maca koran

               G                D                  Em

Kanggoang tagok malu care bangsawan

        G                D                   Em

Kanggoang malu wantah di ipian..





Melodi : Em G D 4x



              Em

Hidup santai Jon

           G              D         Em

Suksma yang di gelahang Jon

         G                        D               Em

De bes mikir ane konden gelahang Jon

             G                  D              Em

Ne penting nu ngidang mekenyem

             Em

Hidup santai Jon

          G              D                Em

Hidup santai umur panjang Jon

           G               D                     Em

Ne penting luung ban menyama Jon

          G                 D            Em

Menyama lan luung metimpal



Back To Reff




































"
50,"
Widi-Widiana - Formalin Sik Luh
","
Widi-Widiana - Formalin Sik Luh
","








D                        

Sabun Sik Luh

G             A                   D

Hidup Beli Penuh Noda

D                                     

Kopi Manis Sik Luh

G             A                         D

Pahit Sajan Hidup Beli Luh

G                                         D

Terang Bulan Sik Luh

                                     Bm     A       D

Peteng Dedet Hidup Beli

G   

Keto Rasayang Beli

A                                 D

Setonden Ketemu Iluh



**

D                              

Powerbank Sik Luh

G                  A                        D

Ngedrop Sajan Hidup Beli Luh

D

Soda Gembira Sik Luh

G                    A              D

Sebet Gati Hidup Beli Luh

G                                            D

Kikihang Kunyit Dik Luh

                               Bm              A           D

Ngubadin Hatin Beline Ne Pidan Metatu

G

Iluh Ne Ngidang Madingang

A                          D

Hidup Beline Luwungan



Reff

A                                      Bm

Iluh Mecelep Jani di Hidup Beline

G                                        D

Mare Beli Ngeraseyang Bagia

A                                Bm

Iluh Ne Ngerti Nerima Lcur Beline

G                                A

Dumogi Iluh Seken Tulus



D                            G

Formalin Sik Luh

                        A             D

Pang Awet Tresnan Irage



Kembali Ke **






































"
51,"
Lolot - Putri Bali
","
Lolot - Putri Bali
","








Intro G C D G 4x

G      C       D        G

Eee enyen sujatine ento

G             C         D          G

Mabok lantang sebengne alepG            C           D            G         D

Langsing lanjar pamulune nyandat gadingG     C         D        G

Eee enyen sujatine entoG                C         D         G

Tayungane lemes tindakane alusG           C                      D                     G

Jegeg pesan kadi pucuk bunga nedeng kembangReff:G                      C 

Merasa ulung jantung   D                   GSerasa pegat nadineG                                C  D  G

Kala iluh nyeledet tur misi nyeriteG                                     C     D    G     D

Riang girang tiang kadi keglebugin bulanG      C         D      G

Eee enyen sujatine entoG        C       D                       G

Beli nyaga sedia lakar ngatehan iluhG                               C      D         G

Yadiastun iluh ngajak beli nyeburin apiG            C      D            G

Eee luh jegeg antosin ja maluG           C       D     G

Nyen sujatine adan iluheG                         C  D       G

Terus terang beli dot makenalanReff: G                     C  D  G

Merasa ulung jantung D                     GSerasa pegat nadineG                         C    D     G

Kala iluh nyeledet tur misi nyeriteG                                     C     D     G

Riang girang tiang kadi keglebugin bulanEm  C D GDa da da da da da luh rai putri baliEm C D G

Da da da da da da luh rai putri baliG                C          D    GEee enyen bajang jegeg ento

G              C            D          GMabaju kebaya mekamen songketG                               C    D     G

Slendang sutra alus melilit di bangkianG                      C     D    GEee luh jegeg antosin ja maluG          C        D     G

Nyen sujatine adan iluheG                 C      D       G

Terus terang beli dot makenalan

Kembali Ke Reff..



sumber http://addinfobaru.blogspot.co.id/2015/01/kunci-gitar-lolot-putri-bali.html




































"
52,"
Lolot - Tembang Jaruh
","
Lolot - Tembang Jaruh
","








Intro :

G C G C G C D

G C G C G C D



G                         C                             G

Niki lagu jaruh, Niki wantah tembang jaruhD                       C          D-G

Ulian jaruh raga ada di gumine

G                             C                             G

Niki lagu jaruh,Niki wantah tembang jaruhD                        C       D-G

Ulian jaruh raga idup di gumineG                                   C     D               GKokokan metali benang, Lili gundi abut-abut        C                      G

Jongkokang tit kenyang        C           D     G

Uli duri angkuk-angkuk

G                                              C     D    GKokokan metali benang, Lili gundi abut-abut           C                   G

Jongkokang tit kenyang

       C      D             G

Uli duri angkuk-angkuk

G                   C       GJepang tiongkok Filipina         C      D            GKau bulu di beten umah

G                    C        G

Anak bajang nyongkok tit ngenah

C         D              G

Mabulu langah-langahCTo ngudyang ningkang dituG

Di sisin marganeD

Liu anake metabrakanD                            C -D  - G

Ulian iluh ningkang di sisin jalanCTo ngudyang ningkang dituG

Di sisin marganeD

Liu anake metabrakanD                              C- D- G

Ulian iluh ningkang di sisin jalanG                                   C             GTe te telak telak dagang sate tit bawakD                       C           D         G

Tul tul tul tul jit mentul garang buyungG                                     C          G

Te te telak telak dagang sate tit bawakD                          C       D           G

Tul tul tul tul jit mentul garang buyungC             D             G

Jit mentul garang buyungC             D            G

Jit mentul garang buyung




































"
